Texte	Auteur·e	Référence	Dossier	Notions	Résumé
« Parmi les droits les plus fondamentaux dont jouissent tous les êtres humains se trouvent notamment le droit à l’intégrité physique, le droit à la vie et le droit à la liberté. Est-ce légitime de réserver ces droits aux membres de l’espèce homo sapiens exclusivement ? N’est-il pas possible que les membres d’autres espèces animales possèdent, eux aussi, les intérêts fondamentaux que ces droits servent à protéger ? […]<br>Tout nous porte à croire que bien des animaux sont sensibles et que tous les êtres sensibles ont, par nature, intérêt à ne pas souffrir. Selon le principe de l’égale considération des intérêts, cela nous oblige à leur octroyer le droit fondamental à l’intégrité physique et cela devrait nous amener à interdire toutes les pratiques impliquant qu’il leur soit imposé de la douleur pour nos fins.<br>Cela dit, non seulement nous faisons souffrir les animaux que nous utilisons, mais nous nous autorisons également à les tuer pour nos fins. Pourtant, la mise à mort est prohibée lorsqu’il s’agit d’êtres humains. […] Est-ce que les humains sont les seuls animaux à avoir intérêt à vivre ? […] Plusieurs auteurs estiment que, si la mort constitue généralement un dommage pour les humains, c’est qu’elle les prive des bonnes choses qu’ils auraient pu obtenir s’ils étaient restés en vie. […] Or, tous les animaux sensibles, au moment de mourir, perdent ces bonnes choses dont ils auraient pu bénéficier s’ils étaient restés en vie. Du point de vue de chaque animal (humain ou non), sa vie est probablement ce qui compte le plus […]. Tous les êtres sensibles devraient donc avoir le droit de ne pas être torturés et le droit de ne pas être tués. Mais qu’en serait-il d’une utilisation douce et indolore, qui ne mènerait pas à la mise à mort ? […]<br>Plusieurs sociétés en sont venues à condamner l’esclavage humain, peu importe la façon dont les esclaves sont traités. Les animaux non humains, pour leur part, sont considérés comme des ressources que nous pouvons nous approprier, même si leur traitement est parfois règlementé. Mais est-ce à dire que tous les êtres humains et seuls les êtres humains ont intérêt à être libres ? […] Aussi bien traités soient-ils, tous les individus qui ont intérêt à ne pas subir d’interférences ont intérêt à ne pas risquer d’en subir. Seule une égalité de statut leur permettrait de ne pas courir ce risque. […]] Voilà pourquoi les trois principaux droits fondamentaux ne devraient plus être limités aux seuls êtres humains, mais profiter à tous les animaux sensibles. »	Valéry Giroux	« Vers la liberté animale », revue <i>À babord !</i>, n°42. URL : <a href="https://www.ababord.org/Vers-la-liberte-animale">lien</a>	Éthique animale	Nature Morale Devoir Homme_et_animal	Les animaux sensibles devraient jouir du droit à l'intégrité physique, du droit à la vie, et du droit à la liberté
« Il faut pour commencer distinguer entre ceux qui s’opposent au fait d’exploiter les animaux (abolitionnistes) et ceux qui s’opposent à la manière actuelle de le faire (welfaristes). Le but des premiers est d’abolir l’exploitation, celui des seconds de la réguler. […] Le welfarisme est le mouvement pour le bien-être (welfare) animal. […] [Il désigne] l’attitude de ceux, auteurs, politiques, associations, qui s’engagent en faveur de réformes susceptibles d’améliorer la condition des animaux sans remettre en cause le fait de les exploiter. […] Les welfaristes sont souvent utilitaristes, comme Singer. Mais ils peuvent aussi être déontologistes, comme Feinberg, c’est-à-dire défendre une théorie des droits. Ce qui les réunit est qu’ils font de la qualité de vie des animaux un problème moral.<br>Le welfarisme s’inscrit dans une démarche réformiste, poursuivant pas à pas des objectifs circonscrits, jugés accessibles à court ou moyen terme. Ces réformes peuvent cependant inclure l’abolition pure et simple de certaines pratiques, comme l’élevage en batterie, les corridas, l’utilisation d’animaux sauvages dans les cirques, l’expérimentation animale pour les cosmétiques et les produits d’entretien, les chirurgies électives sur les animaux de compagnie (coupe des oreilles, de la queue ou retrait des griffes), etc. […]<br>Dans l’esprit du public, le welfarisme renvoie finalement à l’idée assez consensuelle qu’il faut traiter les animaux de manière à ne pas les faire souffrir inutilement, c’est-à-dire seulement lorsque cela est commandé par la nécessité la plus impérieuse. L’enjeu est alors de distinguer entre des souffrances utiles et d’autres qui sont inutiles. »	Jeangène Vilmer Jean-Baptiste	« L’antispécisme », dans <i>L'éthique animale</i>, PUF, « Que sais-je ? », 2015	Éthique animale	Nature Morale Devoir Homme_et_animal	Le welfarisme
« La notion fait malheureusement l’objet d’un certain nombre de confusions. […]<br>Tout comme on peut reconnaître que les génies et autres surdoués sont plus intelligents que le reste de la population tout en refusant de les privilégier, on peut reconnaître que les êtres humains sont plus intelligents que les cochons et les rats tout en refusant de les privilégier. Et c’est précisément ce que font les antispécistes. (En un sens, ils revendiquent effectivement l’égalité de tous les animaux, mais ce sens est normatif plutôt que descriptif. L’idée n’est pas que tous les animaux ont les mêmes capacités mais que nous devrions accorder une importance similaire à leurs intérêts similaires […]) […]<br>[L]es antispécistes affirment simplement que les humains et les autres animaux ont les mêmes droits quand ils ont (ou pourraient avoir) les mêmes intérêts. Les crapauds et les lapins étant constitués de telle sorte qu’ils n’ont ni le goût de la spiritualité ni la soif d’apprendre, ils n’ont droit ni à la liberté de confession ni à l’éducation. En revanche, parce qu’ils ont comme nous un intérêt à ne pas souffrir, ils ont comme nous le droit de ne pas souffrir inutilement. C’est en tout cas l’avis des antispécistes. »	Jaquet, F. (2018)	« Spécisme », version académique, dans M. Kristanek (dir.), <i>Encyclopédie philosophique</i>, URL : <a href="http://encyclo-philo.fr/specisme-a/">lien</a>	Éthique animale	Nature Morale Devoir Homme_et_animal	Qu'est-ce que l'antispécisme ?
« Comme son nom l’indique, l’abolitionnisme est la défense de l’abolition – non pas de telle ou telle activité que l’on jugerait problématique, mais de l’exploitation animale en tant que telle, c’est-à-dire de toutes les activités impliquant l’appropriation ou l’usage d’animaux comme simples moyens au service des fins humaines. La critique porte surtout sur le fait de pouvoir se rendre propriétaire d’un animal et de l’utiliser pour en tirer un bénéfice quelconque, mais inclut également le fait d’exploiter, en les chassant par exemple, des animaux sauvages dont l’humain n’est pas propriétaire (cette précision permet de ne pas réduire l’abolitionnisme à une critique de la propriété animale). Les abolitionnistes militent donc pour que l’on cesse de regarder les animaux comme des res propria, des choses dont on peut se rendre propriétaire […]<br>L’abolitionnisme n’implique pas forcément l’abolition des relations avec les non-humains, puisqu’il faut distinguer l’exploitation de la coopération en principe « mutuellement bénéfique », même si, dans les faits, la seconde est souvent le masque de la première. On trouve donc deux types d’abolitionnistes : les extinctionnistes qui, n’ayant pas confiance dans la capacité humaine d’avoir des relations sans maltraiter, souhaitent mettre fin à l’institution des animaux de compagnie (Francione) ; et les coopérationnistes qui défendent la cohabitation, voire la théorisent même politiquement (Donaldson et Kymlicka). »	Jeangène Vilmer Jean-Baptiste	« L’antispécisme », dans <i>L'éthique animale</i>, PUF, « Que sais-je ? », 2015	Éthique animale	Nature Morale Devoir Homme_et_animal	L'abolitionnisme
« [La morale kantienne] est fondée sur la valeur intrinsèque des êtres humains, sur leur dignité, qu'ils possèdent en vertu du fait qu'ils sont des êtres rationnels. […] L'éthique déontologique de Kant ne s'étendait pas aux animaux non humains. […] Kant soutient que les animaux n'ont qu'une valeur morale indirecte. L'homme doit s'abstenir de leur faire du mal non pas pour le bien de l'animal, mais parce que cela peut le contrarier ou l'amener à traiter les êtres rationnels de la même manière.<br>Dans son livre de 1993, Tom Regan, qui défend une approche déontologique moderne, a affirmé que l'argument de Kant fondé sur la notion de valeur intrinsèque peut s'appliquer aux animaux. Bien que Regan soit d'accord sur le fait que les animaux ne sont pas rationnels au même titre que les humains, il soutient qu'ils ont tout de même une dignité parce qu'ils sont des "sujets de vie" - avec des préférences, des sentiments et des attentes. Il écrit que « tous les animaux sont des sujets, des sujets qui ont leur propre vie. Derrière ces yeux, il y a une histoire, l'histoire de leur vie dans leur monde tel qu'ils le vivent ».<br>Le point de vue de Regan implique que les animaux, tout comme les humains, doivent voir leur autonomie respectée et ne pas être utilisés comme un moyen d'arriver à une autre fin. Plutôt que d'appeler à une modification du système actuel d'utilisation des animaux, cette perspective fondée sur les droits conduit à l'abolitionnisme : aucun animal ne devrait être la propriété d'un humain. En 2004, Regan écrit que « […] la reconnaissance de leurs droits exige une abolition, et non une réforme. Il ne suffit pas d'être gentil avec les animaux. Il ne suffit pas d'éviter la cruauté. Que nous exploitions les animaux pour la nourriture, les vêtements, le divertissement ou la connaissance scientifique, la reconnaissance des droits des animaux exige des cages vides, pas des cages plus grandes. » »	Elizabeth Watt	« The moral status of animals: comparing deontological and consequentialist views ». URL : <a href="http://www.flockandherd.net.au/other/reader/moral-status-animals.html">lien</a>	Éthique animale	Nature Morale Devoir Homme_et_animal	D'après Tom Regan, la notion de valeur intrinsèque peut s'appliquer aux animaux
« Peut-être le jour viendra-t-il où le reste du règne animal retrouvera ces droits qui n'auraient jamais pu lui être enlevés autrement que par la tyrannie. Les Français ont déjà réalisé que la peau foncée n'est pas une raison pour abandonner sans recours un être humain aux caprices d'un persécuteur. Peut-être finira-t-on un jour par s'apercevoir que le nombre de jambes, la pilosité de la peau ou l'extrémité de l'os sacrum sont des raisons tout aussi insuffisantes d'abandonner une créature sensible au même sort. Quoi d'autre devrait tracer la ligne de démarcation ? Serait-ce la faculté de raisonner, ou peut-être la faculté du langage ? Mais un cheval parvenu à maturité ou un chien est, par-delà toute comparaison, un animal plus sociable et plus raisonnable qu'un nouveau-né âgé d'un jour, d'une semaine ou même d'un mois. Mais supposons qu'ils soient autrement, à quoi cela nous servirait-il ? La question n'est pas : peuvent-ils raisonner ? Ni : peuvent-ils parler ? Mais bien : peuvent-ils souffrir ? »	Bentham	<i>Introduction aux principes de la morale et de la législation</i>, chap. XVII, section 1	Éthique animale	Nature Morale Devoir Homme_et_animal	La question n'est pas « peuvent-ils raisonner ? », mais « peuvent-ils souffrir ? »
« Singer est un utilitariste qui distribue la considération morale en fonction du critère de la souffrance : il suffit de souffrir pour être patient moral. De ce point de vue, il est également un welfariste, c’est-à-dire que le principe qui est à l’origine de son système est la minimisation de la souffrance, donc la maximisation du bien-être animal : « Pour défendre les conclusions qui sont argumentées dans ce livre [<i>Animal liberation</i>] le principe de réduction maximale de la souffrance suffit. » . Autrement dit, Singer n’a pas d’objection de principe au fait d’élever un animal pour le tuer, tant que son bien-être est maximisé, c’est-à-dire s’il est élevé de manière humaine et tué sans douleur – mais il doute que ce soit réalisable et économiquement viable dans nos sociétés. C’est donc par pragmatisme et non par principe qu’il défend le végétarisme. De la même manière, son utilitarisme l’incite à accepter le sacrifice de quelques animaux (humains ou non) si cela permet d’en sauver davantage. Il ne s’oppose donc pas à l’expérimentation animale en soi mais à ses abus seulement, et à l’image de l’animal-chose qu’elle projette. C’est précisément à cet endroit que s’engouffrent les critiques, qui visent généralement soit l’utilitarisme soit le welfarisme. »	Jean-Baptiste Jeangène Vilmer	<i>Éthique animale</i>, PUF, 2008, p.76	Éthique animale	Nature Morale Devoir Homme_et_animal	L'utilitarisme de Peter Singer le conduit à une forme de <i>welfarisme</i>
« Que personne ne s'avise de coller son oreille à la chair inerte, au risque d'y entendre le souffle rauque de la bête qui s'affale. La pitié pour l'opaque misère des animaux [destinés à la consommation] s'estompe vite, dès lors que le spectacle de leur souffrance est caché, et leur exploitation justifiée par la force des arguments économiques. Du calvaire de l'animal, le consommateur ne sait rien et ne veut rien savoir : les lieux de mise à mort sont d'ailleurs distincts des lieux de vente […]. En soustrayant à la perception la présence effective de la mort, c'est la possibilité même de l'alimentation carnée qui devient peu à peu impensable, parce qu'inimaginable, hors représentation.<br>La séparation des tâches a contribué à consolider une scission entre l'animal et la viande, épargnant ainsi notre réflexion. […] Par ailleurs, le recours à la tradition, aux arguments nutritifs, tout comme le procédé publicitaire […] qui consiste à mettre en scène l'assentiment de l'animal à devenir une carcasse, et donc à traiter avec humour sa mise à mort, sont autant de biais qui libèrent la consommation carnée de tout souci éthique. Bref, il s'agit de faire de cette trajectoire une évidence et de présenter du même coup toute compassion comme l'émanation d'une sensiblerie incongrue. »	Florence Burgat	« Folie des vaches, folie des hommes : L'oubli de l'animal », <i>Le Monde Diplomatique</i>, mai 1996	Éthique animale	Nature Morale Devoir Homme_et_animal	Nous avons généralement un rapport abstrait aux animaux de production
« [Les morales de la sensibilité réagissent] directement aux stratégies d’exclusion mises en œuvre dans nos sociétés pour justifier l’exploitation animale et ses abus, tout en modérant la culpabilité des acteurs et des spectateurs, c’est-à-dire en excluant l’animal de notre sympathie et, du même coup, de notre considération morale. Ces stratégies, outre l’anthropocentrisme lui-même qui en infériorisant l’animal permet à l’homme de se distancier de lui émotionnellement, se composent notamment de ce qui peut apparaître comme des « discours-alibis » (les alibis historique, alimentaire, économique, thérapeutique, l’appel à la tradition, etc.) et de trois stratagèmes. Le premier est la négation des torts causés, que Chapouthier appelle le déguisement de la réalité, qui passe d’abord par la dissimulation de la souffrance animale, derrière les portes des laboratoires ou dans les grands baraquements de l’élevage industriel, et ensuite par l’euphémisation, puisque les chasseurs « récoltent », les chercheurs « euthanasient » ce qui n’est jamais que du « matériel biologique » tandis que les abattoirs ne sont que des « unités de transformation d’aliments ». Dans tous les cas, et bien d’autres encore, la souffrance animale est dissimulée ou déguisée sous une terminologie plus propre, abstraite, agricole ou mécanique. Le deuxième stratagème est le découpage des responsabilités, c’est-à-dire la division du travail : « les abatteurs ne sont pas responsables de l’abattage puisque les consommateurs leur réclament de la viande et les consommateurs ne ressentent aucune responsabilité puisque la viande leur arrive dans un petit morceau de plastique d’une façon complètement neutre » (G. Chapouthier, <i>Les droits de l’animal</i>, Paris, PUF, 1992, p. 70). Le troisième stratagème, enfin, est la dévalorisation de la sympathie pour les animaux : il consiste tout simplement à présenter la défense des animaux, ce que l’on pourrait appeler d’une manière large le mouvement « animaliste » dans son ensemble, comme une attitude irrationnelle, sentimentale et juvénile, faible, féminine parfois (c’est l’association classique entre insensibilité et virilité, qui fonde en partie la réaction écoféministe) , ridicule toujours. »	Jean-Baptiste Jeangène Vilmer	« Le critère de la souffrance dans l’éthique animale anglo-saxonne » <i>in</i> Jean-Luc Guichet (dir.), <i>Douleur animale, douleur humaine : données scientifiques, perspectives anthropologiques, questions éthiques</i>, Paris, Quae, 2010	Éthique animale	Nature Morale Devoir Homme_et_animal	Les différentes stratégies d'exclusion pour justifier l'exploitation animale
« [L]’homme, et en général tout être raisonnable, existe comme fin en soi, et non pas simplement comme moyen dont telle ou telle volonté puisse user à son gré ; dans toutes ses actions, aussi bien dans celles qui le concernent lui-même que dans celles qui concernent d'autres êtres raisonnables, il doit toujours être considéré en même temps comme fin. […] [L]es êtres dépourvus de raison [n’ont], qu'une valeur relative, celle de moyens, et voilà pourquoi on les nomme des choses ; au contraire, les êtres raisonnables sont appelés des personnes, parce que leur nature les désigne déjà comme des fins en soi, c'est-à-dire comme quelque chose qui ne peut pas être employé simplement comme moyen, quelque chose qui par suite limite d'autant toute faculté d'agir comme bon nous semble (et qui est un objet de respect). »	Kant	<i>Fondements de la métaphysique des mœurs</i>	Éthique animale	Nature Morale Devoir Homme_et_animal	La théorie des devoirs indirects – Seuls les êtres de raison sont des personnes qui ont une dignité
