Texte	Auteur·e	Référence	Dossier	Notions	Résumé
« Que la jeune âme […] se demande : « Qu’as-tu vraiment aimé jusqu’à ce jour ? Vers quoi t’es-tu sentie attirée, par quoi t’es-tu sentie dominée et comblée à la fois ? Fais repasser sous tes yeux la série entière de ces objets de vénération, et peut-être, par leur nature et leur succession, te révéleront-ils la loi fondamentale de ton vrai moi. Compare ces objets entre eux, vois comment ils se complètent, s’élargissent, se surpassent, s’illuminent mutuellement, comment ils forment une échelle graduée qui t’a servi à t’élever jusqu’à ton moi. Car ton être vrai n’est pas caché tout au fond de toi : il est placé infiniment au-dessus de toi, à tout le moins au-dessus de ce que tu prends communément pour ton moi. » »	Nietzsche	<i>Considérations inactuelle</i>, III « Schopenhauer éducateur » §1	Identité personnelle	Recherche_de_soi Conscience	L'identité ne se trouve pas en soi, mais en dehors de soi, dans ce qu'on aime
« Lorsqu'on considère un objet fabriqué, comme par exemple un livre ou un coupe-papier, cet objet a été fabriqué par un artisan qui s'est inspiré d'un concept ; il s'est référé au concept de coupe-papier, et également à une technique de production préalable qui fait partie du concept, et qui est au fond une recette. […] Nous dirons donc que, pour le coupe-papier, l'essence - c'est-à-dire l'ensemble des recettes et des qualités qui permettent de le produire et de le définir - précède l'existence […]. [I]l y a au moins un être chez qui l'existence précède l'essence, un être qui existe avant de pouvoir être défini par aucun concept et […] cet être c'est l'homme […]. Qu'est-ce que signifie ici que l'existence précède l'essence ? Cela signifie que l'homme existe d'abord, se rencontre, surgit dans le monde, et qu'il se définit après. L'homme, tel que le conçoit l'existentialiste, s'il n'est pas définissable, c'est qu'il n'est d'abord rien. Il ne sera qu'ensuite, et il sera tel qu'il se sera fait. Ainsi, il n'y a pas de nature humaine, puisqu'il n'y a pas de Dieu pour la concevoir. L'homme est non seulement tel qu'il se conçoit, mais tel qu'il se veut, et comme il se conçoit après l'existence, comme il se veut après cet élan vers l'existence, l'homme n'est rien d'autre que ce qu'il se fait. Tel est le premier principe de l'existentialisme. […] Mais si vraiment l'existence précède l'essence, l'homme est responsable de ce qu'il est. Ainsi, la première démarche de l'existentialisme est de mettre tout homme en possession de ce qu'il est et de faire reposer sur lui la responsabilité totale de son existence. »	Sartre	<i>L'existentialisme est un humanisme</i>	Identité personnelle	Recherche_de_soi Conscience	L'existence précède l'essence
« Pour ma part, quand je pénètre au plus intime de ce que j’appelle moi, je tombe toujours sur telle ou telle perception particulière, de chaud ou de froid, de lumière ou d’ombre, d’amour ou de haine, de douleur ou de plaisir. À aucun moment je ne puis me saisir moi sans saisir une perception, ni ne puis observer autre chose que la dite perception. […] [J’]ose affirmer du reste des hommes qu’ils ne sont rien d’autre qu’un faisceau ou une collection de différentes perceptions qui se succèdent les unes les autres avec une inconcevable rapidité et qui sont dans un perpétuel flux et mouvement. […] L’esprit est une sorte de théâtre où diverses perceptions font successivement leur apparition ; elles passent, repassent, se perdent, et se mêlent en une variété infinie de positions et de situations. […] La comparaison avec le théâtre ne doit pas nous égarer. Les perceptions successives sont seules à constituer l’esprit ; et nous n’avons pas la moindre notion du lieu où ces scènes sont représentées ni des matériaux dont il est constitué. »	Hume	<i>Traité de la nature humaine</i>, I, IV, VI	Identité personnelle	Recherche_de_soi Conscience	Le moi n'est qu'un flux de perceptions
« Honneth [formule] deux thèses. Premièrement, le sujet de l’action n’existe qu’à condition d’être reconnu : il n’est pas de sujet moral ou pratique dont la valeur n’ait d’abord été confirmée par les autres. Deuxièmement, la nécessité d’être reconnu prend sa source dans l’expérience du mépris (<i>Miβachtung</i>), c’est-à-dire dans l’expérience fondatrice d’un manque de reconnaissance. […]<br>Le premier mode de reconnaissance mutuelle est la relation d’amour, par laquelle l’individu parvient à la “confiance en soi”, c’est-à-dire à une certaine sécurité émotionnelle. Axel Honneth s’appuie sur l’œuvre du psychanalyste anglais Donald Winnicott, qui montre par quelles étapes l’enfant accède à un équilibre satisfaisant entre la symbiose avec la mère (qui permet la sécurité) et l’affirmation de soi (qui permet l’autonomie). Au terme de ce processus, l’individu acquiert la “capacité à être seul”, condition nécessaire de toute créativité, que celle-ci soit enfantine ou adulte. Les affects et les besoins de l’individu se voient alors reconnus, non seulement au sens où il lui devient possible de les éprouver légitimement, mais également en ceci qu’il peut les faire connaître aux autres en toute tranquillité. Honneth clôt ce premier moment en soulignant qu’il ne sépare pas abstraitement la reconnaissance “privée” que rend possible l’amour et la reconnaissance “publique” dont il va être question. Il précise qu’un individu ne saurait participer à la vie publique de façon autonome sans la confiance en soi minimale que le lien d’amour a pu élaborer.<br>Le deuxième mode de reconnaissance mutuelle est la relation juridique, par laquelle l’individu se voit reconnu comme une personne dotée de droits. Le respect de soi est l’effet subjectif de cette reconnaissance, la responsabilité morale de l’individu se trouve alors reconnue. Les droits reconnaissent en effet à l’individu “la capacité de se prononcer d’une manière rationnelle et autonome sur les questions morales”.<br>L’estime sociale désigne le troisième mode de reconnaissance. Ce qui est estimé (et donc reconnu), ce sont les capacités et les qualités singulières des individus. Être estimé, cela ne revient pas à être reconnu juridiquement. La reconnaissance juridique porte sur une qualité universellement partagée (la capacité morale) ; de façon toute différente, “Une personne ne peut se juger “estimable” que si elle se sent reconnue dans des prestations qui ne pourraient être aussi bien assurées par d’autres”. L’individu acquiert le sentiment de sa propre valeur grâce à la sympathie sociale (ou solidarité) qui lui est manifestée. »	Nicolas Novion, compte-rendu du livre d'Axel Honneth	<i>La lutte pour la reconnaissance</i> pour L'œil de Minerve – <a href="http://bit.ly/novion-honneth">lien</a>)	Identité personnelle	Recherche_de_soi Conscience	Axel Honneth affirme l'importance de la reconnaissance pour pouvoir être soi
« [S]i l’âme d’un prince, emportant avec elle la conscience de sa vie passée de prince, venait à entrer dans le corps d’un savetier et à s’incarner en lui à peine celui-ci abandonné par son âme à lui, chacun voit bien qu’il serait la même personne que ce prince, et comp­table seulement de ses actes : mais qui dirait que c’est le même homme ? Le corps lui aussi entre dans la constitution de l’homme, et je suppose que pour quiconque c’est le corps qui, dans ce cas, déterminerait l’homme, tandis que l’âme, avec toutes ses pensées princières, ne ferait pas un autre homme, mais il demeurerait le même savetier pour tous, sauf pour lui-même. »	John Locke	<i>Essai sur l’entendement humain</i>, Livre II, Ch. XXVII, §15	Identité personnelle	Recherche_de_soi Conscience	La fable du Prince et du Savetier
« [Il y a] un lien étroit qui associe l'identité personnelle à nos ressources narratives. Nous ne pouvons définir le moi qu'à partir des récits qui le prennent pour objet. En donner une définition qui fasse exclusivement appel à ses actes ne peut être pertinent, car le sens même (ou la description correcte) de toute action n'est pas donné(e) en soi à l'image d'un atome, mais dépend du contexte narratif dans lequel cette description est possible. [Il nous faut] un concept du moi dont l'unité réside dans l'unité d'un récit. […] [Mais] il y aura toujours plus d’un récit correspondant aux faits de l’individu. Cette pluralité d’auto-récits généraux soulève la possibilité d’une vie qui ne serait pas celle d’un seul moi. […] La signification même de mes actions, la définition de moi-même comme agent, change considérablement selon la version racontée […] Si le moi est constitué narrativement et qu’il n’y a pas d’unique récit véritable, alors il n’y a pas d’unique moi véritable. »	Richard Shusterman	<i>Vivre la philosophie. Pragmatisme et art de vivre</i>	Identité personnelle	Recherche_de_soi Conscience	Le concept d'identité narrative
« Pour ce qui est de la superstition des logiciens, je ne me lasserai jamais de souligner un petit fait que ces esprits superstitieux ne reconnaissent pas volontiers à savoir qu’une pensée se présente quand “elle” veut, et non pas quand “je” veux ; de sorte que c’est falsifier la réalité que de dire : le sujet “je” est la condition du prédicat “pense”. Quelque chose pense, mais que ce quelque chose soit justement l’antique et fameux “je”, voilà, pour nous exprimer avec modération, une simple hypothèse, une assertion, et en tout cas pas une “certitude immédiate”. En définitive, ce “quelque chose pense” affirme déjà trop ; ce “quelque chose” contient déjà une interprétation du processus et n’appartient pas au processus lui-même. En cette matière, nous raisonnons d’après la routine grammaticale : “Penser est une action, toute action suppose un sujet qui l’accomplit, par conséquent...” C’est en se conformant à peu près au même schéma que l’atomisme ancien s’efforça de rattacher à l’“énergie” qui agit une particule de matière qu’elle tenait pour son siège et son origine, l’atome. Des esprits plus rigoureux nous ont enfin appris à nous passer de ce reliquat de matière, et peut-être un jour les logiciens s’habitueront-ils eux aussi à se passer de ce “quelque chose”, auquel s’est réduit le respectable “je” du passé. »	Nietzsche	<i>Par delà bien et mal</i>, I, 17 »	Identité personnelle	Recherche_de_soi Conscience	Le moi n'est qu'une illusion grammaticale
« Locke est sans doute l'un des premiers philosophes à avoir élaboré les conditions de ce qu'on appelle aujourd'hui l'identité personnelle. Comment l'individu peut-il être sûr d'être une seule et même personne à travers le temps et les inévitables modifications physiques et psychologiques de lui-même ? La réponse de Locke est claire : l'identité personnelle ne repose pas sur l'identité corporelle ni même sur l'identité spirituelle que garantirait éventuellement l'existence de l'âme. Elle repose d'abord sur la conscience, c'est-à-dire sur la perception que l'individu a de sa propre activité psychique […]. À ce premier élément il faut toutefois ajouter un second phénomène, la mémoire, permettant de rattacher la conscience de notre identité présente aux événements que nous avons autrefois vécus. La difficulté […] est qu'on peut alors se demander si une interruption de la mémoire, due à une amnésie totale ou partielle, ou à des altérations de la conscience comme la folie ou l'ébriété, est susceptible de briser l'identité personnelle. […]<br>Second film de Christopher Nolan, <i>Memento</i> […] met en place […] une forme de conte philosophique, posant sous la forme cinématographique la question de l'identité personnelle en des termes tout à fait comparables à ceux utilisés par Locke dans son <i>Essai</i>. Le problème de Locke est incarné ici dans le personnage de Lenny : que se passe-t-il quand un individu, tout en ayant le souvenir de son passé lointain et mémoire de ce qu'il vient de vivre perd toute trace de sa propre existence au-delà des quelques minutes qu'il peut retenir ? […] Nolan introduit deux éléments structurant le fil de l'intrigue. Lenny corrige son absence de mémoire […] en tatouant sur son corps même les faits qu'il ne doit pas oublier. L'identité corporelle se veut ici le substitut du souvenir, identité que Lenny complète par la photographie des personnes et des lieux dont l'image lui est nécessaire – question de survie. Le second élément est le récit de la vie et de la mort d'un homme, Sammy Jankis, dont Lenny se serait occupé comme agent d'assurance, et qui souffrait de la même déficience mémorielle. […] Le réalisateur va jouer sur ces […] éléments […] en dépliant les paradoxes de l'identité personnelle quand elle ne peut plus reposer sur le passé. […]<br>Quelle signification, philosophique […] peut-on accorder à ce que nous raconte le film ? Peut-être rien d'autre que l'enseignement de Locke, qui n'a de cesse de montrer la centralité de la conscience et de la mémoire dans la construction de l'identité personnelle. Marquer sa vie sur son corps – image étonnante de Lenny, nu, couvert de dates, de lieux, de numéros –] ne sert à rien. Notre existence n'est pas une accumulation d'événements, elle repose sur l'identité narrative d'un Je, unifiant dans l'interprétation des faits les différents moments de sa vie, tels qu'ils apparaissent à sa mémoire. »	Olivier Dekens	<i>La philosophie sur grand écran. Manuel de cinéphilosophie</i>, p. 20-23	Identité personnelle	Recherche_de_soi Conscience	John Locke sur l'identité personnelle et le film <i>Memento</i>
« La <i>persona</i> est un ensemble compliqué de relations entre la conscience et la société ; elle est, adaptée aux fins qui lui sont assignées, une espèce de masque que l’individu revêt ou dans lequel il se glisse ou qui, même à son insu, le saisit et s’empare de lui, et qui est calculé, agencé, fabriqué de telle sorte parce qu’il vise d’une part à créer une certaine impression sur les autres et, d’autre part, à cacher, dissimuler, camoufler la nature vraie de l'individu. Qu’il soit superflu de cacher sa vraie nature, seul peut le prétendre celui qui s’identifie à sa <i>persona</i> à un tel degré qu’il se tient au demeurant dans une ignorance profonde de lui-même ; et de même, seul peut imaginer inutile de faire une certaine impression sur les êtres de son entourage celui qui méconnaît la nature vraie des humains qui l’entourent. La société attend et se doit d’attendre de chaque individu qu’il assume et joue de façon aussi parfaite que possible le rôle qui lui est imparti ; ainsi, par exemple, d’un individu qui est un pasteur, la société escompte non seulement qu’il assume sans heurts les obligations de sa charge, mais aussi qu’il soit à tous moments et en toutes circonstances impeccablement dans la peau du personnage de pasteur. La société exige cela comme une sorte de garantie et de sécurité. Que chacun demeure à sa place et se cantonne dans son domaine : celui-ci est cordonnier et cet autre, poète. Nul n’est tenu d’être, à la fois, l’un et l’autre. Il ne semble d’ailleurs pas recommandable d’être les deux à la fois, car on devient vite suspect : cela a quelque chose d’inquiétant. Face à la société convaincue que seul le cordonnier qui n’est point poète fait des chaussures selon les règles de l’art, il serait un individu peu sérieux, un fumiste, suspect d’insuffisance et d’impréparation. Ainsi, il est important, dans la pratique, qu’une personnalité se montre sous une seule étiquette ; car la société, qui ne connaît que l’homme moyen, sait que celui-ci doit déjà se concentrer sur une seule occupation pour faire quelque chose de valable et de présentable, et que s’il s’éparpille sur deux, c’en est déjà, en général, trop pour lui. Notre société est incontestablement construite à partir de tels stéréotypes. [...] Or naturellement, en tant qu’individualité, personne ne peut satisfaire entièrement cette attente, et chacun se voit confronté inéluctablement avec la nécessité d’édifier une personnalité artificielle. Les exigences d’un conformisme non choquant et des bonnes mœurs apportent leur contribution à la fabrication d’un masque présentable et acceptable. [...] L’élaboration d’une <i>persona</i> soumise aux normes collectives auxquelles elle satisfait constitue une concession énorme au monde extérieur, un sacrifice de soi-même, qui contraint directement le Moi à s’identifier avec la <i>persona</i>, de sorte qu’il existe réellement des individus qui croient être ce qu’ils représentent. [...] Ces identifications avec le rôle social constituent d’ailleurs une source abondante de névroses : ce n’est pas sans dégâts et sans s’en être cruellement puni que l’homme peut s’aliéner lui-même au profit d’une personnalité artificielle. »	C.G Jung	<i>Dialectique du Moi et de l’inconscient</i>	Identité personnelle	Recherche_de_soi Conscience	Le concept de <i>persona</i>
« On dit volontiers que l'on a un corps mais […] [cette expression] suggère […] qu'il serait possible de distinguer radicalement le sujet de son corps, celui-ci étant assimilable à un objet extérieur susceptible d'être perçu comme on perçoit les objets et instrumentalisé comme on dispose des choses. Or est-ce bien ainsi que s'expérimente la dimension corporelle de l'humaine condition? Ce corps que je dis avoir n'est-il pas plutôt celui que je suis tant il est vrai qu'un sujet n'est pas dissociable de ce par quoi il s'insère dans le monde, le perçoit et agit en lui? Qu'il s'agisse du corps pour soi ou pour les autres, le corps ne se donne pas comme un simple objet. Il a une subjectivité irréductible de telle sorte qu'il semble moins être un corps-objet qu'un corps-sujet. Pour autant, ce corps que je dis être le mien, le suis-je sans écart au point de coïncider avec lui ? N'est-il pas possible de le vivre parfois comme une étrangeté, une extériorité dans laquelle il est impossible de se reconnaître entièrement? Alors quel est le statut du corps s'il n'est ni pure extériorité, ni pure intériorité, ni pure objectivité, ni pure subjectivité ? […]<br>Dire : « j'ai un corps » consiste à disjoindre le sujet de ce qu'il est censé posséder : un corps. L'expression s'inscrit dans un schéma dualiste, le « je » renvoyant à la sphère du sujet ; « un corps » à celle de l'objet. […] Par le procès même de la pensée, le sujet se pose donc en position de surplomb de telle sorte que tout ce qu'il saisit est objectivé. Le corps, à l'égal de tout ce qui a un statut de chose est exposé à cette objectivation. Il s'offre au regard, il est étalé dans l'espace, il a une extériorité propre à lui conférer la dimension d'un objet. Par là, il peut être objet de science. […] [Mais] [l]’expérience de mon corps est […] fondamentalement différente de l'expérience que j'ai des simples objets. […] En déliant le sujet de son épaisseur charnelle, […] [on] place la conscience en situation de surplomb alors qu'elle est liée par une espèce de fraternité charnelle au monde dans lequel elle est en situation. »	Simone Manon	« Ai-je un corps ou suis-je mon corps ? ». URL: <a href="https://www.philolog.fr/ai-je-un-corps-ou-suis-je-mon-corps/">lien</a>	Identité personnelle	Recherche_de_soi Conscience	Ai-je un corps ou suis-je un corps ?
