Texte	Auteur·e	Référence	Dossier	Notions	Résumé
« En posant l'homme dans sa relation avec la nature ou dans sa relation avec l'homme, par le truchement du langage, nous posons la société. Cela n'est pas coïncidence historique mais enchaînement nécessaire. Car le langage se réalise toujours dans une langue, dans une structure linguistique définie et particulière, inséparable d'une société définie et particulière. Langue et société ne se conçoivent pas l'une sans l'autre. L'une et l'autre sont données. Mais aussi l'une et l'autre sont apprises par l'être humain, qui n'en possède pas la connaissance innée. L'enfant naît et se développe dans la société des hommes. Ce sont des humains adultes, ses parents, qui lui inculquent l'usage de la parole. L'acquisition du langage est une expérience qui va de pair chez l'enfant avec la formation du symbole et la construction de l'objet. Il apprend les choses par leur nom ; il découvre que tout a un nom et que d'apprendre les noms lui donne la disposition des choses. Mais il découvre aussi qu'il a lui-même un nom et que par là il communique avec son entourage. Ainsi s'éveille en lui la conscience du milieu social où il baigne et qui façonnera peu à peu son esprit par l'intermédiaire du langage. »	Benveniste, Émile	<i>Problèmes de linguistique générale</i>. Gallimard, 1963.	Le langage n'est-il qu'un simple moyen de communication ?	Langage	Le langage est une partie et une condition de la culture
« À quel point notre langue influence-t-elle notre façon de penser ? À quel point y a-t-il interaction et influence mutuelle entre langue et culture ? […] En étudiant des langues et cultures indiennes dans le Nouveau Monde, Boas et ses disciples découvrirent des catégories conceptuelles fort éloignées de celles auxquelles nous sommes habitués en Europe. Rien que dans le domaine du lexique, les différences s’avéraient telles qu’Edward Sapir (1949 : 27) nota : “Des distinctions qui nous paraissent indispensables sont parfois entièrement ignorées dans des langues qui, d’une part, reflètent une culture totalement différente, mais qui, d’autre part, insistent sur des distinctions que nous trouvons tout à fait inintelligibles.” […] Par ailleurs, l’idée de la relativité linguistique se voit considérablement renforcée par une importante découverte. Il s’est en effet vérifié que les concepts plus abstraits des systèmes grammaticaux relèvent eux aussi de catégories spécifiques qui ne sont pas nécessairement conçues sur le modèle des grammaires indo-européennes. L’ethnocentrisme européen en prit un sérieux coup. Certaines langues du Nouveau Monde ne font par exemple pas la distinction entre noms comptables et non comptables. Il arrive même que la distinction entre adjectif et verbe fasse défaut. C’est notamment le cas en nootka, une langue indienne de la Colombie britannique. Quant au système des temps verbaux, le chinois et bien des langues indiennes s’en passent. D’autres éléments d’ancrage, notamment la distinction entre article défini et article indéfini, sont inconnus en russe et en polonais. Les catégories conceptuelles familières aux Européens n’apparaissent donc pas partout. En revanche, certaines langues indiennes ont développé des catégories conceptuelles tout à fait différentes. Elles attachent de l’importance notamment au fait de savoir si un processus s’est répété dans le temps et dans l’espace, s’il a lieu au nord, au sud, à l’est ou à l’ouest du locuteur, si celui-ci se base sur sa propre perception, ou s’il le sait par ouï-dire ou par déduction, s’il s’agit de quelque chose de visible ou pas, etc. […] C’est à un disciple de Sapir, Benjamin Lee Whorf (1887-1941) – un ingénieur chimiste qui s’intéressa aussi à l’anthropologie –, que revient le mérite d’avoir proposé une formulation claire de la théorie de la relativité linguistique : « Nous disséquons la nature selon des lignes dictées par nos langues premières… Nous découpons la nature, la classons en concepts, et attribuons des sens d’une façon particulière, avant tout parce que nous sommes parties prenantes dans un contrat qui nous oblige à organiser les choses de cette façon – un contrat qui engage notre communauté linguistique tout entière et qui est codifié dans les structures de notre langue […] » Certes, Whorf a peut-être exagéré en faisant état d’un contrat qui engage des communautés linguistiques tout entières d’une façon “absolument obligatoire” : il est toujours possible d’échapper aux “clauses du contrat” en utilisant des paraphrases et des circonlocutions. Ce qui est en cause chez Whorf, ce sont les “patrons habituels”, c’est-à-dire ceux que l’on utilise tout le temps, sans même y réfléchir. D’ailleurs, quand on paraphrase, il y a toujours un prix à payer : il nous faut recourir à des tournures plus longues, plus complexes, plus lourdes que celles qui se conforment aux structures grammaticales ordinaires. […] Les idées de Whorf en matière de relativité linguistique peuvent être interprétées de deux façons. Dans sa version forte, la thèse qui fait dépendre la pensée de la langue doit être rejetée. […] Dans sa version appelée faible, l’hypothèse de la relativité linguistique dit que la langue oriente la pensée et la perception. […] plus personne ne défend la version “forte” de l’hypothèse de la relativité linguistique. L’idée du déterminisme linguistique, selon laquelle nos catégories linguistiques déterminent nos modes de pensée, est aujourd’hui unanimement rejetée. Or, il en existe des versions plus modérées et plus nuancées, et bien des chercheurs sont prêts à souscrire à l’idée que les langues influencent la pensée. »	Delbecque, Nicole	<i>Linguistique cognitive. Comprendre comment fonctionne le langage</i>. De Boeck Supérieur, 2006, Chapitre 6. Langue, culture et conceptualisation : la sémantique transculturelle	Le langage n'est-il qu'un simple moyen de communication ?	Langage	Examen de l'hypothèse Sapir-Whorf de la relativité linguistique
« Nous ne voyons pas les choses mêmes ; nous nous bornons, le plus souvent, à lire des étiquettes collées sur elles. Cette tendance, issue du besoin, s'est encore accentuée sous l'influence du langage. Car les mots (à l'exception des noms propres) désignent des genres. Le mot, qui ne note de la chose que sa fonction la plus commune et son aspect banal, s'insinue entre elle et nous […]. Et ce ne sont pas seulement les objets extérieurs, ce sont aussi nos propres états d'âme qui se dérobent à nous dans ce qu'ils ont d'intime, de personnel, d'originalement vécu. Quand nous éprouvons de l'amour ou de la haine, quand nous nous sentons joyeux ou tristes, est-ce bien notre sentiment lui-même qui arrive à notre conscience avec les mille nuances fugitives et les mille résonances profondes qui en font quelque chose d'absolument nôtre ? Nous serions alors tous romanciers, tous poètes, tous musiciens. Mais, le plus souvent, nous n'apercevons de notre état d'âme que son déploiement extérieur. Nous ne saisissons de nos sentiments que leur aspect impersonnel, celui que le langage a pu noter une fois pour toutes parce qu'il est à peu près le même dans les mêmes conditions, pour tous les hommes. Ainsi, jusque dans notre propre individu, l'individualité nous échappe. Nous nous mouvons parmi des généralités et des symboles [...]. »	Bergson, Henri	<i>Le rire: essai sur la signification du comique</i>. Presses Universitaires de France, 2002.	Le langage n'est-il qu'un simple moyen de communication ?	Langage	La généralité et l'abstraction du langage peuvent constituer un obstacle qui nous empêche d'exprimer la singularité du réel
« Peirce, pour qui le signe entretenait des rapports précis avec l'objet de sa désignation, distinguait Index, Icônes et Symboles. L'Index est un signe qui entretient un lien physique avec l'objet qu'il indique ; c'est le cas lorsqu'un doigt est pointé sur un objet, lorsqu'une girouette indique la direction du vent, ou une fumée la présence du feu. On peut aller jusqu'à ranger dans les index les pronoms démonstratifs comme /celui-là/, les noms propres, ainsi que les noms communs dans la mesure où ils sont utilisés pour indiquer un objet précis. L'Icône est un signe qui renvoie à son objet en vertu d'une ressemblance, du fait que ses propriétés intrinsèques correspondent d'une certaine façon aux propriétés de cet objet. […] De sorte que sont des icônes une photocopie, un dessin, un diagramme, mais aussi une formule logique et surtout une image mentale. Le Symbole, enfin, est un signe arbitraire, dont le rapport avec son objet est défini par une convention : l'exemple le plus frappant est celui du signe linguistique. »	Umberto Eco	<i>Le signe</i>	Le langage n'est-il qu'un simple moyen de communication ?	Langage	Trois types de signes : index, icônes, symboles
« C'est dans les mots que nous pensons. Nous n'avons conscience de nos pensées déterminées et réelles que lors­que nous leur donnons [une] forme objective […] On croit ordinairement, il est vrai, que ce qu'il y a de plus haut, c'est l'ineffable. Mais c'est là une opinion superficielle et sans fondement ; car, en réalité, l'ineffable, c'est la pensée obscure, la pensée à l'état de fermentation, et qui ne devient claire que lorsqu'elle trouve le mot. Ainsi le mot donne à la pensée son existence la plus haute et la plus vraie. Sans doute on peut se perdre dans un flux de mots sans saisir la chose. Mais la faute en est à la pensée imparfaite, indéterminée et vide, elle n'en est pas au mot. […] Par conséquent, l'intelligence, en se remplissant de mots, se remplit aussi de la nature des choses. »	Hegel	<i>Encyclopédie des sciences philosophiques</i>, Philosophie de l'Esprit	Le langage n'est-il qu'un simple moyen de communication ?	Langage	Une pensée sans mots pour l'exprimer reste une pensée obscure : le langage rend possible une pensée claire et précise
« [L]a pragmatique post-gricéenne explique la communication verbale à l’aide de deux modèles de la communication, le modèle du code et le modèle de l’inférence. Le modèle du code explique comment les messages sont encodés dans des signaux et comment les signaux sont émis, transmis et décodés. De son côté, le modèle de l’inférence explique comment, sur la base de l’information décodée via un processus linguistique, le sens est construit et inféré en contexte. En d’autres termes, si les langues sont des codes, au sens classique du terme, la communication verbale ne se réduit pas à un simple processus d’encodage et de décodage de messages: les énoncés contiennent plus que les phrases, et la tâche de l’interlocuteur est d’inférer, sur la base de la signification de la phrase (<i>sentence meaning</i>), le sens du locuteur (<i>speaker’s meaning</i>), à savoir le sens que le locuteur veut donner à son énoncé. »	Moeschler, Jacques	« Remarques sur la Théorie du langage du point de vue de la pragmatique contemporaine ». Anton Marty & Karl Bühler, <i>Entre pensée et langage</i>, Schwabe, 2014, p. 267. URL : <a href="https://archive-ouverte.unige.ch/unige:109915"/>lien</a>.	Le langage n'est-il qu'un simple moyen de communication ?	Langage	Le modèle du code et le modèle de l'inférence
« L’un des reproches que l’on peut faire aux définitions de la langue qui la ramènent à un instrument de communication” est qu’elles risquent de laisser croire à un rapport neutre entre le locuteur et sa langue. Un instrument, en effet, est un outil que l’on prend lorsqu’on en a besoin, que l’on remet ensuite. Or, les rapports que nous avons à nos langues et à celles des autres ne sont pas tout à fait de ce type : nous ne sortons pas l’instrument-langue de son étui lorsque nous avons besoin de communiquer pour l’y ranger ensuite, comme nous prenons un marteau lorsque nous avons besoin de planter un clou. Il existe en effet tout un ensemble d’attitudes, de sentiments des locuteurs face aux langues, aux variétés de langues et à ceux qui les utilisent, qui rendent superficielle l’analyse de la langue comme un simple instrument. […] L’Histoire est remplie de proverbes ou de formules toutes faites qui expriment les préjugés du temps sur les langues. […] Ces stéréotypes ne concernent pas seulement les différentes langues mais également les variantes géographiques des langues, souvent classées par le sens commun le long d’une échelle de valeurs. Ainsi, la division des formes linguistiques en langues, dialectes et patois est-elle considérée, de façon péjorative, comme isomorphe de divisions sociales elles-mêmes fondées sur une vision péjorative […]. D’autres stéréotypes concernent le « beau parler ». […] Et derrière ces stéréotypes se profile la notion de bon usage, l’idée qu’il y a des façons de bien parler la langue et d’autres qui, par comparaison, sont à condamner. On trouve ainsi chez tous les locuteurs une sorte de norme spontanée qui les fait décider que telle forme est à proscrire, telle autre à admirer : on ne dit pas comme cela, on dit comme cela, etc. Si les usages varient, géographiquement, socialement et historiquement, la norme spontanée varie de la même façon : on n’a pas les mêmes attitudes linguistiques dans la bourgeoisie et dans la classe ouvrière, à Londres ou en Écosse, aujourd’hui et il y a un siècle. Ce qui intéresse ici la sociolinguistique, c’est le comportement social que cette norme peut entraîner. […] Dans un cas on valorise sa pratique linguistique ou on tentera au contraire de la modifier pour se conformer à un modèle prestigieux, dans l’autre cas on jugera les gens sur leur façon de parler. […] Pierre Bourdieu […] part de la constatation que la linguistique post saussurienne s’est construite sur le refoulement du caractère social de la langue […] Son idée est que la linguistique a tendance à incorporer à la théorie un objet préconstruit, la langue, dont elle oublie l’histoire sociale qui la façonne. […] « L’échange linguistique est aussi un échange […] qui s’établit dans un certain rapport de forces symbolique […]. » Ce qui signifie pour lui qu’au-delà de la simple communication de sens, les discours sont des signes de richesse et des signes d’autorité, ils sont émis pour être évalués et obéis, et que la structure sociale est présente dans le discours. »	Calvet, Louis Jean	<i>La sociolinguistique</i>. Presses Universitaires de France, 2013.	Le langage n'est-il qu'un simple moyen de communication ?	Langage	La sociolinguistique met en évidence les enjeux sociaux et politiques du langage
« Le message des abeilles n'appelle aucune réponse de l'entourage, sinon une certaine conduite, qui n'est pas une réponse. Cela signifie que les abeilles ne connaissent pas le dialogue, qui est la condition du langage humain. Nous parlons à d'autres qui parlent, telle est la réalité humaine. [...] Parce qu'il n'y a pas de dialogue pour les abeilles, la communication se réfère seulement à une certaine donnée objective. Il ne peut y avoir de communication relative à une donnée “linguistique” [...] L'abeille ne construit pas de message à partir d'un autre message. [...] L'ensemble de ces observations fait apparaître la différence essentielle entre les procédés de communication découverts chez les abeilles et notre langage. Cette différence se résume dans le terme qui nous semble le mieux approprié à définir le mode de communication employé par les abeilles ; ce n'est pas un langage, c'est un code de signaux. »	Benveniste, Émile	<i>Problèmes de linguistique générale</i>. Gallimard, 1963.	Le langage n'est-il qu'un simple moyen de communication ?	Langage	Le langage humain n'est pas un simple code de signaux
« Représentez-vous la multiplicité des jeux de langage au moyen des exemples suivants : Commander, et agir d'après des commandements. Décrire un objet d'après son aspect, ou d'après des mesures prises. Reconstituer un objet d'après une description (dessin). Rapporter un événement. Faire des conjectures au sujet d’un événement. Former une hypothèse et l’examiner. Représenter les résultats d’une expérimentation par des tables ou des diagrammes. Inventer une histoire; et lire. Jouer du théâtre. Chanter des “rondes”. Deviner des énigmes. Faire un mot d’esprit; raconter. Résoudre un problème d’arithmétique pratique. Traduire une langue dans une autre. Solliciter, remercier, maudire, saluer, prier. »	Wittgenstein, Ludwig	<i>Investigations philosophiques</i>. Traduit par Pierre Klossowski, Gallimard, 1961.	Le langage n'est-il qu'un simple moyen de communication ?	Langage	Il y a une multiplicité de “jeux de langage”
« Le langage est un phénomène complexe qui met en jeu plusieurs capacités distinctes. On peut donc l’étudier à différents niveaux. Ceux-ci correspondent à différentes branches de la linguistique. Pour commencer, on peut étudier les propriétés acoustiques des sons du langage qui sont produits par l'appareil phonatoire (dans le cas des langues parlées […]), comme le son [l] ou le son [r]. C'est ce que fait la phonétique. Ensuite, selon les langues, des sons différents du point de vue de leurs propriétés acoustiques peuvent être perçus comme appartenant à une même catégorie. Nous formons une sorte d'alphabet mental arrangeant ces sons en catégories qui ne correspondent pas parfaitement aux propriétés acoustiques. Les locuteurs du japonais par exemple ne distinguent pas le /l/ du /r/, et les locuteurs français ne font pas usage de la différence entre deux sons [a] que les locuteurs d’un dialecte indien utilisent de façon productive. La phonologie est l'étude de ce type de représentations organisationnelles des sons dans la langue […]. Les différents sons dont dispose ainsi le locuteur dans son répertoire permettent de former des unités de sens, ou des mots. Les propriétés de formation des mots à partir d'éléments sous-lexicaux sont étudiées par la morphologie. Par exemple, le mot "interminable" est formé à partir du verbe "terminer", du suffixe "able", et du préfixe "in". Une fois formés, les mots eux-mêmes ne sont pas agencés aléatoirement dans la phrase : les phrases que prononcent les locuteurs ne constituent en effet qu'une petite partie des possibilités d'agencement. L'organisation des mots dans une phrase suit des contraintes particulières, dont les locuteurs compétents du français ont une connaissance tacite, qui se manifeste dans leurs dispositions à produire et reconnaître des énoncés grammaticaux. Ils ne disent jamais spontanément, par exemple, "Je chocolat du mange", mais plutôt "Je mange du chocolat". La syntaxe est la discipline qui s'applique à mettre au jour les contraintes structurelles régissant l'agencement des mots dans la phrase, que ces contraintes soient spécifiques à la langue étudiée ou communes à toutes les langues […] »	Thommen Tristan, et Murez, Michael	« Langage (A) ». <i>L'Encyclopédie philosophique</i>, URL = <a href="https://encyclo-philo.fr/langage-a">lien</a>.	Le langage n'est-il qu'un simple moyen de communication ?	Langage	Trois niveaux d'articulation : les phonèmes, les morphèmes, la syntaxe
