Texte	Auteur·e	Référence	Dossier	Notions	Résumé
« Dans le stoïcisme, le moment de concentration sur le présent est encore plus accentué […] C’est là l’exercice spirituel [que Marc-Aurèle] appelle lui-même : « Délimiter le présent » (<i>Écrits pour lui-même</i>, VII, 29, 3 et III, 12, 1). Délimiter le présent, c’est détourner son attention du passé et du futur pour la concentrer sur ce que l’on est en train de faire. […] Le présent suffit à notre bonheur parce qu’il est la seule chose qui soit à nous, qui dépende de nous. Aux yeux des stoïciens, en effet, il est essentiel de savoir distinguer entre ce qui dépend de nous et ce qui ne dépend pas de nous. Le passé ne dépend plus de nous, puisqu’il est fixé définitivement, l’avenir ne dépend pas de nous, puisqu’il n’est pas encore. Seul le présent dépend de nous. C’est donc la seule chose qui puisse être bonne ou mauvaise, puisque c’est la seule qui dépende de notre volonté. Le passé et le futur, puisqu’ils ne dépendent pas de nous, puisqu’ils ne sont pas de l’ordre du bien ou du mal moral, doivent donc nous être indifférents. Inutile de se troubler pour ce qui n’est plus ou ce qui ne sera peut-être jamais. Cet exercice de délimitation du présent, Marc-Aurèle le décrit aussi de la manière suivante : « Si tu sépares de toi-même, c’est-à-dire de ta pensée […] tout ce que tu as fait ou dit dans le passé, et toutes les choses qui te troublent, parce qu’elles sont à venir, si tu sépares du temps ce qui est au-delà du présent et ce qui est passé […] et si tu t’exerces à vivre seulement la vie que tu vis, c’est-à-dire le présent, tu pourras passer tout le temps qui t’est laissé jusqu’à ta mort avec calme, bienveillance, sérénité… » (<i>Écrits pour lui-même</i>, XII, 3, 3-4). De la même manière, Sénèque décrit cet exercice en ces termes : « Il faut séparer ces deux choses : la crainte de l’avenir et le souvenir des difficultés d’autrefois : ceci ne me concerne plus, ceci ne me concerne pas encore. — Le sage jouit du présent sans dépendre du futur. […] ». (<i>Lettres à Lucilius</i>, 78, 14 et <i>Des Bienfaits</i>, VII, 2, 4-5). »	Pierre Hadot	<i>N'oublie pas de vivre</i>	Le temps est-il un obstacle au bonheur ?	Bonheur Temps	Le rapport au temps dans le stoïcisme
« [L]'instant, aussi vite arrivé qu'évanoui, aus­sitôt échappé du néant que rattrapé par lui, revient cependant comme un fantôme troubler la paix d'un instant ultérieur. […] Celui-ci dit alors : « Je me souviens », et il envie l'animal qui oublie immédiatement et voit réellement mourir chaque instant, retombé dans la nuit et le brouillard, à jamais évanoui. L'animal, en effet, vit de manière non historique : il se résout entièrement dans le présent comme un chiffre qui se divise sans laisser de reste singulier, il ne sait simuler, ne cache rien et, apparaissant à chaque seconde tel qu'il est, ne peut donc être que sincère. L'homme, en revanche, s'arc-boute contre la charge toujours plus écrasante du passé, qui le jette à terre ou le couche sur le flanc, qui entrave sa marche comme un obscur et invisible fardeau. […] Toute action exige l'oubli, de même que toute vie organique exige non seulement la lumière, mais aussi l'obscurité. Un homme qui voudrait sentir les choses de façon absolument et exclusivement historique ressemblerait à quelqu'un qu'on aurait contraint à se priver de sommeil ou à un animal qui ne devrait vivre que de ruminer continuellement les mêmes aliments. Il est donc possible de vivre, et même de vivre heureux, presque sans aucune mémoire, comme le montre l'animal ; mais il est absolument impossible de vivre sans oubli. »	Nietzsche	<i>Considérations inactuelles</i>	Le temps est-il un obstacle au bonheur ?	Bonheur Temps	Il est absolument impossible de vivre sans oubli
« Notre personnalité, qui se bâtit à chaque instant avec de l’expérience accumulée, change sans cesse. […] Ainsi notre personnalité pousse, grandit, mûrit sans cesse. Chacun de ses moments est du nouveau qui s’ajoute à ce qui était auparavant. […] C’est un moment original d’une non moins originale histoire. […] Chacun d’eux est une espèce de création. Et de même que le talent du peintre se forme ou se déforme, en tous cas se modifie, sous l’influence même des œuvres qu’il produit, ainsi chacun de nos états, en même temps qu’il sort de nous, modifie notre personne, étant la forme nouvelle que nous venons de nous donner. On a donc raison de dire que ce que nous faisons dépend de ce que nous sommes ; mais il faut ajouter que nous sommes, dans une certaine mesure, ce que nous faisons, et que nous nous créons continuellement nous-mêmes. Cette création de soi par soi est d’autant plus complète, d’ailleurs, qu’on raisonne mieux sur ce qu’on fait. […] [P]our un être conscient, exister consiste à changer, changer à se mûrir, se mûrir à se créer indéfiniment soi-même »	Bergson	<i>L'évolution créatrice</i>	Le temps est-il un obstacle au bonheur ?	Bonheur Temps Recherche_de_soi	Nous nous créons continuellement nous-mêmes
« Quand je considère la petite durée de ma vie, absorbée dans l’éternité précédent et suivant le petit espace que je remplis et même que je vois, abîmé dans l’infinie immensité des espaces que j’ignore et qui m’ignorent, je m’effraie et m’étonne de me voir ici plutôt que là, car il n’y a point de raison pourquoi ici plutôt que là, pourquoi à présent plutôt que lors. Qui m’y a mis ? Par l’ordre et la conduite de qui ce lieu et ce temps a-t-il été destiné à moi ? »	Pascal	<i>Pensées</i>, fragment Misère n° 17 / 24. URL : <a href="http://www.penseesdepascal.fr/Misere/Misere17-moderne.php">lien</a>	Le temps est-il un obstacle au bonheur ?	Bonheur Temps	L'effroi nous saisit quand nous pensons au temps
« « Que l’âme trouve sa joie dans le présent et prenne en haine l’inquiétude du futur » (Horace, <i>Odes</i>, II, 16, 25). L’esprit heureux ne regarde pas vers le futur. On peut être heureux tout de suite, si on limite raisonnablement ses désirs. 
Non seulement on le peut, mais on le doit. […] [I]l faut saisir le bonheur dans l’instant présent. Il y a urgence « On ne naît qu’une fois », dit une sentence épicurienne, « deux fois cela n’est pas permis. Il est donc nécessaire que nous ne soyons plus pour toute l’éternité, mais toi, qui n’es pas maître du lendemain, tu remets encore à demain la joie. La vie pourtant se consume en vain dans ces délais et chacun de nous meurt sans avoir jamais goûté la paix ». (Epicure, <i>Sentences vaticanes</i>, § 14) « Pendant que nous parlons », dit Horace, « le temps jaloux a fui. Cueille donc l’aujourd’hui (<i>carpe diem</i>) sans te fier à demain » (<i>Odes</i>, I, 11, 7-8) 
Ce <i>carpe diem</i> d’Horace n’est pas du tout, comme on se le représente souvent, un conseil de jouisseur, c’est au contraire une invitation à la conversion, c’est-à-dire une prise de conscience de la vanité des désirs superflus et sans limites, une prise de conscience aussi de l’imminence de la mort, de l’unicité de la vie, de l’unicité de l’instant. Dans cette perspective, chaque instant apparaît comme un don merveilleux qui remplit de gratitude celui qui le reçoit : « Persuade-toi », dit encore Horace « que chaque jour nouveau qui se lève sera pour toi le dernier. Alors c’est avec gratitude que tu recevras chaque heure inespérée » (<i>Épîtres</i>, 1,4, 13-14). Gratitude, émerveillement, nous avions déjà rencontré ces sentiments chez les épicuriens, à propos de la miraculeuse coïncidence entre les besoins de l’être vivant et les facilités que lui procure la Nature. Le secret de la joie épicurienne, de la sérénité épicurienne, c’est de vivre chaque instant comme s’il était le dernier, mais aussi comme s’il était le premier. On éprouve le même émerveillement reconnaissant en recevant l’instant comme s’il était inespéré ou en l’accueillant comme entièrement nouveau : « Si le monde entier, dit Lucrèce, aujourd’hui, pour la première fois, apparaissait aux mortels, si, brusquement, à l’improviste, il surgissait à leurs regards, que pourrait-on citer de plus merveilleux que cet ensemble et dont l’imagination des hommes eût moins osé concevoir l’existence ? (<i>De la Nature</i>, II, 1034-1035). Le secret […] de la sérénité épicurienne, c’est finalement l’expérience du plaisir infini que donne la conscience d’exister, ne fût-ce qu’un instant. […] On voit ici encore le rôle de la pensée de la mort dans l’épicurisme. […] [C]’est cet exercice de prise de conscience de la finitude de la vie qui révèle la valeur infinie du plaisir d’exister dans l’instant. Dans la perspective de la mort, le fait d’exister, ne serait-ce qu’un instant, revêt brusquement une valeur infinie et donne un plaisir d’une intensité infinie. On ne peut dire sans trouble ma vie est terminée, que si l’on a pris conscience du fait que l’on a déjà tout eu, dans cet instant d’existence […]. »	Pierre Hadot	<i>N'oublie pas de vivre</i>	Le temps est-il un obstacle au bonheur ?	Bonheur Temps	Le rapport au temps dans l'épicurisme
« [T]out désir suppose privation, et toutes les privations qu’on sent sont pénibles ; c’est donc dans la disproportion de nos désirs et de nos facultés que consiste notre misère. […] C’est l’imagination qui étend pour nous la mesure des possibles […] et qui, par conséquent, excite et nourrit les désirs par l’espoir de les satisfaire. Mais l’objet qui paraissait d’abord sous la main fuit plus vite qu’on ne peut le poursuivre ; quand on croit l’atteindre, il se transforme et se montre au loin devant nous. Ne voyant plus le pays déjà parcouru, nous le comptons pour rien ; celui qui reste à parcourir s’agrandit, s’étend sans cesse. […] Le monde réel a ses bornes, le monde imaginaire est infini […] Quelle manie a un être aussi passager que l’homme de regarder toujours au loin dans un avenir qui vient si rarement, et de négliger le présent dont il est sûr ! […] Nous n’existons plus où nous sommes, nous n’existons qu’où nous ne sommes pas. »	Rousseau	<i>Émile</i>, livre II	Le temps est-il un obstacle au bonheur ?	Bonheur Temps	L'être humain regarde toujours au loin et néglige le présent
« C’est dans le temps que se construit l’action qui tend vers son but ; pour aller du projet à la réalisation, elle doit parcourir une étendue temporelle. Cette étendue […] nous est nécessaire pour réussir à atteindre le but, mais nullement pour le viser. Or la réussite est à venir, mais la visée se place dans un présent qui se renouvelle constamment, seul mode du temps qui nous soit donné. […] [L]’impératif catégorique du stoïcisme se formule dans un précepte de Marc-Aurèle […] : « À chaque heure, applique-toi de tout ton soin … à faire ce que tu as sur les bras ». […] [L’]instant est le seul temps dont nous disposions. […] Il s'ensuit qu'il faut accomplir l'action présente comme si c'était la dernière. […] Aussi le sage « se contente-t-il de ces deux choses : d’accomplir, quant à lui, l’action présente selon la justice et de chérir le lot qui lui est attribué présentement ; il laisse là toutes les préoccupations et les soucis. ». […] Les devoirs issus des situations s'imposent à nous comme tel rôle à l'acteur. L'acteur n'est responsable ni du personnage qui lui a été confié, ni du temps dont il dispose pour jouer. Tout ce qu'on lui demande, et tout ce qui dépend pleinement de lui, c'est de jouer le mieux possible, à chaque instant, et aussi longtemps que le magistrat qui l'a engagé le laisse en scène. »	Victor Goldschmidt	<i>Le système stoïcien et l'idée de temps</i>	Le temps est-il un obstacle au bonheur ?	Bonheur Temps	Le rapport au temps dans le stoïcisme
« Le sérieux comprend que si la mort est une nuit, la vie est le jour, que si l'on ne peut travailler la nuit, on peut agir le jour, et comme le mot bref de la mort, l'appel concis, mais stimulant de la vie, c'est : aujourd'hui même. Car la mort envisagée dans le sérieux est une source d'énergie comme nulle autre ; elle rend vigilant comme rien d'autre. La mort incite l'homme charnel à dire : « Mangeons et buvons, car demain, nous mourrons. » Mais c'est là le lâche désir de vivre de la sensualité, ce méprisable ordre de choses où l'on vit pour manger et boire, et où l'on ne mange ni ne boit pour vivre. L'idée de la mort amène peut-être l'esprit plus profond à un sentiment d'impuissance où il succombe sans aucun ressort ; mais à l'homme animé de sérieux, la pensée de la mort donne l'exacte vitesse à observer dans la vie, et elle lui indique le but où diriger sa course. Et nul arc ne saurait être tendu ni communiquer à la flèche sa vitesse comme la pensée de la mort stimule le vivant dont le sérieux tend l'énergie. Alors le sérieux s'empare de l'actuel aujourd'hui même ; il ne dédaigne aucune tâche comme insignifiante; il n'écarte aucun moment comme trop court. »	Kierkegaard	<i> Trois Discours sur des circonstances supposées</i>	Le temps est-il un obstacle au bonheur ?	Bonheur Temps	La mort est le stimulant de la vie
